date,domain,format,country,ad_size,device,adSelectionEmissions,creativeDistributionEmissions,mediaDistributionEmissions,totalEmissions,domainCoverage
07/23/2025,espn.com,banner,India,300x600,mobile,0.02393679,7.472e-05,0.00011058,0.0241221,measured
07/04/2025,forbes.com,native,India,728x90,mobile,0.01382302,0.00023249,0.00022934,0.0086576,modeled
07/21/2025,espn.com,display,Canada,728x90,desktop,0.01131078,0.00012349,0.00015992,0.01159419,modeled
08/02/2025,cnn.com,audio,Canada,320x50,desktop,0.00215915,3.356e-05,0.00016849,0.0023612,modeled
07/26/2025,weather.com,audio,Japan,320x50,tablet,0.04365177,6.959e-05,8.464e-05,0.043806,modeled
07/09/2025,techcrunch.com,video,United Kingdom,300x250,mobile,0.01814008,5.026e-05,0.00010542,0.01829576,modeled
07/11/2025,usatoday.com,banner,Japan,300x600,tablet,0.01649302,3.201e-05,0.0002376,0.01676264,measured
07/08/2025,weather.com,video,India,970x250,mobile,0.00535181,2.364e-05,0.00015472,0.00553017,modeled
07/29/2025,fox32chicago.com,display,Australia,300x250,desktop,0.02813354,9.489e-05,0.00012174,0.02835017,modeled
08/01/2025,yahoo.com,video,Brazil,320x50,desktop,0.01307381,5.7e-05,0.00027502,0.01340583,measured
07/10/2025,weather.com,display,Australia,728x90,desktop,0.02121044,6.087e-05,7.493e-05,0.02134623,measured
07/19/2025,espn.com,audio,Australia,300x250,mobile,0.02587619,0.00016917,0.0002545,0.02629986,modeled
07/15/2025,msn.com,banner,United States,970x250,tablet,0.00801047,6.492e-05,8.971e-05,0.00816511,measured
07/27/2025,weather.com,display,United States,300x600,desktop,0.01438288,0.00014755,0.00032818,0.01485862,measured
07/19/2025,msn.com,display,Germany,728x90,tablet,0.02178487,4.824e-05,0.00012967,0.02196278,measured
08/02/2025,yahoo.com,display,Canada,728x90,desktop,0.0461254,8.908e-05,0.00010477,0.04631925,modeled
07/10/2025,yahoo.com,video,India,728x90,tablet,0.01398853,0.00010858,6.605e-05,0.01416315,modeled
